,train,train_label,val,val_label,test,test_label
0,ytma23_022103_benign3_ccd,0,ytma49_042403_benign1_ccd,0.0,ytma49_072303_benign1_ccd,0.0
1,ytma23_022103_malignant3_ccd,1,ytma49_111303_benign2_ccd,0.0,ytma49_042003_benign3_ccd,0.0
2,ytma10_010704_malignant3_ccd,1,ytma12_010804_benign3_ccd,0.0,ytma12_010804_benign1_ccd,0.0
3,ytma55_030603_benign1_ccd,0,ytma49_111303_benign3_ccd,0.0,ytma49_111003_benign1_ccd,0.0
4,ytma49_042003_benign2_ccd,0,ytma10_010704_malignant2_ccd,1.0,ytma55_030603_benign4_ccd,0.0
5,ytma49_072303_malignant2_ccd,1,ytma55_030603_benign3_ccd,0.0,ytma23_022103_malignant2_ccd,1.0
6,ytma10_010704_benign1_ccd,0,ytma49_042203_benign3_ccd,0.0,ytma12_010804_malignant1_ccd,1.0
7,ytma49_042203_malignant1_ccd,1,ytma10_010704_benign2_ccd,0.0,ytma49_111303_malignant1_ccd,1.0
8,ytma49_042203_benign1_ccd,0,ytma12_010804_malignant2_ccd,1.0,ytma49_111303_malignant2_ccd,1.0
9,ytma49_072303_benign2_ccd,0,,,ytma49_111003_malignant1_ccd,1.0
10,ytma49_042003_malignant3_ccd,1,,,ytma49_111303_benign1_ccd,0.0
11,ytma49_042203_malignant3_ccd,1,,,ytma55_030603_benign6_ccd,0.0
12,ytma12_010804_malignant3_ccd,1,,,,
13,ytma49_111003_benign2_ccd,0,,,,
14,ytma49_042403_malignant3_ccd,1,,,,
15,ytma49_042003_malignant2_ccd,1,,,,
16,ytma10_010704_malignant1_ccd,1,,,,
17,ytma49_042403_benign2_ccd,0,,,,
18,ytma49_111003_malignant2_ccd,1,,,,
19,ytma12_010804_benign2_ccd,0,,,,
20,ytma49_042003_benign1_ccd,0,,,,
21,ytma55_030603_benign2_ccd,0,,,,
22,ytma55_030603_benign5_ccd,0,,,,
23,ytma49_042403_malignant1_ccd,1,,,,
24,ytma23_022103_malignant1_ccd,1,,,,
25,ytma49_042203_benign2_ccd,0,,,,
26,ytma49_111303_malignant3_ccd,1,,,,
27,ytma49_042403_benign3_ccd,0,,,,
28,ytma10_010704_benign3_ccd,0,,,,
29,ytma49_042403_malignant2_ccd,1,,,,
30,ytma49_111003_malignant3_ccd,1,,,,
31,ytma49_042003_malignant1_ccd,1,,,,
32,ytma49_072303_malignant1_ccd,1,,,,
33,ytma23_022103_benign1_ccd,0,,,,
34,ytma23_022103_benign2_ccd,0,,,,
35,ytma49_111003_benign3_ccd,0,,,,
36,ytma49_042203_malignant2_ccd,1,,,,
